[2023-10-20 18-01-59] TRAIN | Epoch 56 | Loss : 8.3100 | MAE : 83.5337 | LR : 0.040637
[2023-10-20 18-02-06] VALID | Epoch 56 | Loss : 8.2186 | MAE : 279.1683 | LR : 0.040637
[2023-10-20 18-02-42] TRAIN | Epoch 57 | Loss : 8.3100 | MAE : 83.5315 | LR : 0.039099
[2023-10-20 18-02-49] VALID | Epoch 57 | Loss : 8.2186 | MAE : 477.1865 | LR : 0.039099
[2023-10-20 18-03-24] TRAIN | Epoch 58 | Loss : 8.3100 | MAE : 83.9875 | LR : 0.037572
[2023-10-20 18-03-31] VALID | Epoch 58 | Loss : 8.2186 | MAE : 100.1699 | LR : 0.037572
[2023-10-20 18-04-06] TRAIN | Epoch 59 | Loss : 8.3100 | MAE : 84.2182 | LR : 0.036057
[2023-10-20 18-04-13] VALID | Epoch 59 | Loss : 8.2186 | MAE : 490.0702 | LR : 0.036057
[2023-10-20 18-04-48] TRAIN | Epoch 60 | Loss : 8.3100 | MAE : 83.5991 | LR : 0.034556
[2023-10-20 18-04-55] VALID | Epoch 60 | Loss : 8.2186 | MAE : 391.8816 | LR : 0.034556
[2023-10-20 18-05-30] TRAIN | Epoch 61 | Loss : 8.3100 | MAE : 82.6790 | LR : 0.033070
[2023-10-20 18-05-37] VALID | Epoch 61 | Loss : 8.2186 | MAE : 122.2913 | LR : 0.033070
[2023-10-20 18-06-13] TRAIN | Epoch 62 | Loss : 8.3100 | MAE : 83.5691 | LR : 0.031601
[2023-10-20 18-06-19] VALID | Epoch 62 | Loss : 8.2186 | MAE : 167.4516 | LR : 0.031601
[2023-10-20 18-06-55] TRAIN | Epoch 63 | Loss : 8.3100 | MAE : 84.0076 | LR : 0.030150
[2023-10-20 18-07-02] VALID | Epoch 63 | Loss : 8.2186 | MAE : 210.4760 | LR : 0.030150
[2023-10-20 18-07-35] TRAIN | Epoch 64 | Loss : 8.3100 | MAE : 83.9711 | LR : 0.028718
[2023-10-20 18-07-41] VALID | Epoch 64 | Loss : 8.2186 | MAE : 345.6231 | LR : 0.028718
[2023-10-20 18-08-13] TRAIN | Epoch 65 | Loss : 8.3100 | MAE : 83.9759 | LR : 0.027308
[2023-10-20 18-08-19] VALID | Epoch 65 | Loss : 8.2186 | MAE : 180.8058 | LR : 0.027308
[2023-10-20 18-08-50] TRAIN | Epoch 66 | Loss : 8.3100 | MAE : 83.1994 | LR : 0.025920
[2023-10-20 18-08-57] VALID | Epoch 66 | Loss : 8.2186 | MAE : 247.1828 | LR : 0.025920
[2023-10-20 18-09-28] TRAIN | Epoch 67 | Loss : 8.3100 | MAE : 83.7798 | LR : 0.024555
[2023-10-20 18-09-34] VALID | Epoch 67 | Loss : 8.2186 | MAE : 323.7883 | LR : 0.024555
[2023-10-20 18-10-06] TRAIN | Epoch 68 | Loss : 8.3100 | MAE : 84.5081 | LR : 0.023216
[2023-10-20 18-10-12] VALID | Epoch 68 | Loss : 8.2186 | MAE : 412.1278 | LR : 0.023216
[2023-10-20 18-10-44] TRAIN | Epoch 69 | Loss : 8.3100 | MAE : 82.9910 | LR : 0.021904
[2023-10-20 18-10-51] VALID | Epoch 69 | Loss : 8.2186 | MAE : 351.8828 | LR : 0.021904
